Title: 18 Sco: a solar twin rich in refractory and neutron-capture elements. 
       Implications for chemical tagging. 
Authors: Melendez J., Ramirez I., Karakas A.I., Yong D., Monroe T.R., Bedell M.,
         Bergemann M., Asplund M., Maia M.T., Bean J., do Nascimento J.-D., 
         Bazot M., Alves-Brito A., Freitas F.C., Castro M. 
Table: Adopted atomic data and equivalent widths
================================================================================
Byte-by-byte Description of file: apj497906t1_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units  Label    Explanations
--------------------------------------------------------------------------------
   1-  9 F9.3   0.1nm  Wave     Wavelength in Angstroms
  11- 14 F4.1   ---    Ion      Ion numeric identifier (1)
  16- 21 F6.4   eV     ExPot    Excitation potential
  23- 28 F6.3   [-]    log(gf)  Log of the oscillator strength times 
                                 the statistical weight
  31- 38 E8.2   ---    C6       Damping constant 
  40- 44 F5.1   10-13m EW-18S   The 18 Sco differential equivalent width (2)
  46- 51 F6.2   10-13m EW-Sun   Solar differential equivalent width (2)
--------------------------------------------------------------------------------
Note (1): Where the number before the digit is the atomic number and the number
          after the digit is the ionization level, e.g. 26.1 = Fe II.
Note (2): In units of milli-Angstroms.
--------------------------------------------------------------------------------
 4801.047 24.0 3.1216 -0.130  4.52e-32  51.0  49.3
 4936.335 24.0 3.1128 -0.25   4.32e-32  47.1  45.4
 5214.140 24.0 3.3694 -0.74   2.06e-32  18.2  17.6
 5238.964 24.0 2.709  -1.27   5.19e-32  17.2  16.5
 5247.566 24.0 0.960  -1.59   3.92e-32  83.7  82.4
 5272.007 24.0 3.449  -0.42   3.15e-31  26.3  24.9
 5287.20  24.0 3.438  -0.87   3.09e-31  11.7  10.8
 5296.691 24.0 0.983  -1.36   3.92e-32  94.2  93.6
 5300.744 24.0 0.982  -2.13   3.92e-32  61.0  60.4
 5345.801 24.0 1.0036 -0.95   3.92e-32 115.2 113.3
 5348.312 24.0 1.0036 -1.21   3.92e-32 101.1 100.4
 5783.08  24.0 3.3230 -0.43   8.02e-31  33.4  32.1
 5783.87  24.0 3.3223 -0.295  7.98e-31  46.3  44.9
 6661.08  24.0 4.1926 -0.19   4.67e-31  13.9  13.4
 4588.199 24.1 4.071  -0.594  2.80e+00  71.5  69.3
 4592.049 24.1 4.073  -1.252  2.80e+00  49.0  46.6
 5237.328 24.1 4.073  -1.087  2.80e+00  54.9  52.7
 5246.767 24.1 3.714  -2.436  2.80e+00  16.8  15.4
 5305.870 24.1 3.827  -1.97   2.80e+00  27.7  25.6
 5308.41  24.1 4.0712 -1.846  2.80e+00  28.7  26.8
 5502.067 24.1 4.168  -2.049  2.80e+00  20.1  18.3
 5004.891 25.0 2.9197 -1.63   3.14e-32  14.3  13.9
 5399.470 25.0 3.85   -0.104  2.80e+00  40.6  39.3
 6013.49  25.0 3.073  -0.251  2.80e+00  87.1  86.0
 6016.64  25.0 3.073  -0.084  2.80e+00  96.7  96.3
 6021.79  25.0 3.076  +0.034  2.80e+00  90.4  89.6
 5212.691 27.0 3.5144 -0.11   3.39e-31  20.6  20.9
 5247.911 27.0 1.785  -2.08   3.27e-32  17.9  18.2
 5301.039 27.0 1.710  -1.99   3.01e-32  19.8  20.4
 5342.695 27.0 4.021   0.54   2.80e+00  33.9  33.7
 5483.352 27.0 1.7104 -1.49   2.89e-32  51.2  51.5
 5530.774 27.0 1.710  -2.23   2.26e-32  19.4  20.4
 5647.23  27.0 2.280  -1.56   4.14e-32  14.2  14.3
 6189.00  27.0 1.710  -2.46   2.06e-32  10.7  11.1
 6454.995 27.0 3.6320 -0.25   3.78e-31  14.0  14.4
 4953.208 28.0 3.7397 -0.66   3.25e-31  57.6  57.2
 5010.938 28.0 3.635  -0.87   3.90e-31  50.7  50.1
 5176.560 28.0 3.8982 -0.44   3.84e-31  59.9  59.0
 5589.358 28.0 3.898  -1.14   3.98e-31  28.9  27.9
 5643.078 28.0 4.164  -1.25   3.79e-31  15.7  15.1
 5805.217 28.0 4.1672 -0.64   4.10e-31  44.3  42.6
 6086.282 28.0 4.266  -0.51   4.06e-31  45.8  44.0
 6108.116 28.0 1.676  -2.44   2.48e-32  65.7  65.3
 6130.135 28.0 4.266  -0.96   3.91e-31  23.8  22.7
 6176.811 28.0 4.088  -0.26   3.92e-31  65.0  64.4
 6177.242 28.0 1.826  -3.51   2.80e+00  14.8  15.4
 6204.604 28.0 4.088  -1.14   2.77e-31  22.7  22.5
 6223.984 28.0 4.105  -0.98   3.93e-31  28.8  27.9
 6378.25  28.0 4.1535 -0.90   3.91e-31  33.2  32.1
 6643.630 28.0 1.676  -2.1    2.14e-32  94.1  93.9
 6767.772 28.0 1.826  -2.17   2.80e+00  80.1  79.7
 6772.315 28.0 3.657  -0.99   3.56e-31  52.0  51.2
 7727.624 28.0 3.678  -0.4    3.43e-31  93.3  93.2
 7797.586 28.0 3.89   -0.34   2.80e+00  80.3  78.6
 5105.541 29.0 1.39   -1.516  2.80e+00  93.1  94.1
 5218.197 29.0 3.816   0.476  2.80e+00  48.8  48.4
 5220.066 29.0 3.816  -0.448  2.80e+00  17.5  17.0
 7933.13  29.0 3.79   -0.368  2.80e+00  28.2  28.1
 4722.159 30.0 4.03   -0.38   2.80e+00  69.9  70.0
 4810.534 30.0 4.08   -0.16   2.80e+00  74.3  74.2
 6362.35  30.0 5.79    0.14   2.80e+00  23.4  23.0
 4607.338 38.0 0.00    0.283  6.55e-32  47.2  44.9
 4854.867 39.1 0.9923 -0.38   2.80e+00  57.7  54.4
 4883.685 39.1 1.0841  0.07   2.80e+00  62.0  59.3
 4900.110 39.1 1.0326 -0.09   2.80e+00  58.7  55.9
 5087.420 39.1 1.0841 -0.17   2.80e+00  51.1  47.7
 5200.413 39.1 0.9923 -0.57   2.80e+00  42.0  38.4
 4050.320 40.1 0.713  -1.06   2.80e+00  26.2  23.9
 4208.980 40.1 0.713  -0.51   2.80e+00  45.5  42.1
 4442.992 40.1 1.486  -0.42   2.80e+00  26.8  24.4
 3158.16  42.0 0.000  -0.31   2.80e+00  13.3  11.6
 3193.97  42.0 0.000   0.07   2.80e+00  16.2  15.0
 3436.736 44.0 0.148   0.165  2.80e+00   8.8   7.0
 3498.942 44.0 0.000   0.322  2.80e+00  27.4  25.4
 3242.698 46.0 0.8138  0.07   2.80e+00  27.2  25.5
 3404.576 46.0 0.8138  0.33   2.80e+00  32.9  30.2
 3516.944 46.0 0.9615 -0.21   2.80e+00  16.2  14.1
 3280.68  47.0 0.0000 -0.022  2.80e+00  40.6  38.5
 3382.89  47.0 0.0000 -0.334  2.80e+00  29.3  26.9
 5853.67  56.1 0.604  -0.91   5.30e-32  67.7  63.4
 6141.71  56.1 0.704  -0.08   5.30e-32 121.2 114.9
 6496.90  56.1 0.604  -0.38   5.30e-32 106.8  99.9
 4662.50  57.1 0.0000 -1.24   2.80e+00   7.6   6.1
 4748.73  57.1 0.9265 -0.54   2.80e+00   4.8   3.9
 5303.53  57.1 0.3213 -1.35   2.80e+00   4.1   3.2
 3942.151 58.1 0.000  -0.22   2.80e+00  13.4  11.9
 3999.237 58.1 0.295   0.06   2.80e+00  20.4  17.2
 4042.581 58.1 0.495   0.00   2.80e+00  12.1  10.0
 4073.474 58.1 0.477   0.21   2.80e+00  16.4  14.4
 4364.653 58.1 0.495  -0.17   2.80e+00  13.6  11.4
 4523.075 58.1 0.516  -0.08   2.80e+00  15.0  12.9
 4562.359 58.1 0.477   0.21   2.80e+00  27.4  24.7
 5274.229 58.1 1.044   0.13   2.80e+00   9.8   8.5
 5259.73  59.1 0.633   0.114  2.80e+00   2.9   2.3
 4021.33  60.1 0.320  -0.10   2.80e+00  14.8  12.4
 4059.95  60.1 0.204  -0.52   2.80e+00   7.5   5.4
 4446.38  60.1 0.204  -0.35   2.80e+00  11.9   9.7
 5234.19  60.1 0.550  -0.51   2.80e+00   6.7   5.2
 5293.16  60.1 0.822   0.10   2.80e+00  12.5  10.0
 5319.81  60.1 0.550  -0.14   2.80e+00  13.3  10.8
 3760.70  62.1 0.18   -0.42   2.80e+00   9.9   7.1
 4318.936 62.1 0.277  -0.25   2.80e+00  14.1  10.4
 4467.341 62.1 0.659   0.15   2.80e+00  14.5  12.6
 4519.630 62.1 0.543  -0.35   2.80e+00   6.7   5.3
 4676.902 62.1 0.040  -0.87   2.80e+00   6.6   5.0
 3819.67  63.1 0.000   0.51   2.80e+00  47.4  33.2
 3907.11  63.1 0.207   0.17   2.80e+00  28.8  19.0
 4129.72  63.1 0.000   0.22   2.80e+00  70.1  56.3
 6645.10  63.1 1.379   0.12   2.80e+00   8.0   6.6
 3331.387 64.1 0.000  -0.28   2.80e+00  10.2   7.8
 3697.733 64.1 0.032  -0.34   2.80e+00   6.0   4.5
 3712.704 64.1 0.382   0.04   2.80e+00  15.5  12.3
 3768.396 64.1 0.078   0.21   2.80e+00  17.7  14.0
 4251.731 64.1 0.382  -0.22   2.80e+00  13.3  10.4
 3531.71  66.1 0.000   0.77   2.80e+00  40.3  36.1
 3536.02  66.1 0.538   0.53   2.80e+00  24.4  19.8
 3694.81  66.1 0.103  -0.11   2.80e+00  17.3  13.9
 4077.97  66.1 0.103  -0.04   2.80e+00  14.8  10.7
 4103.31  66.1 0.103  -0.38   2.80e+00  17.8  15.0
 4449.70  66.1 0.000  -1.03   2.80e+00   4.3   3.3
 3694.19  70.1 0.000  -0.30   2.80e+00  81.2  73.9
