A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
8  	C      	6  	2  	0.0000  	0+            	35.064              	18        	230 KEV 50               	1.981E-21                	          	        	P       	100.00      
8  	C      	6  	2  	0.0000  	0+            	35.064              	18        	230 KEV 50               	1.981E-21                	          	        	A       	            
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9110             	21        	126.5 MS 9               	0.127                    	          	        	EA      	38.40       
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9110             	21        	126.5 MS 9               	0.127                    	          	        	EC      	100.00      
9  	C      	6  	3  	0.0000  	(3/2-)        	28.9110             	21        	126.5 MS 9               	0.127                    	          	        	EP      	61.60       
10 	C      	6  	4  	0.0000  	0+            	15.69867            	7         	19.308 S 4               	19.308                   	          	        	EC      	100.00      
11 	C      	6  	5  	0.0000  	3/2-          	10.64940            	6         	20.364 M 14              	1221.84                  	          	        	EC      	100.00      
12 	C      	6  	6  	0.0000  	0+            	0                   	          	STABLE                   	infinity                 	98.93%    	8       	        	            
13 	C      	6  	7  	0.0000  	1/2-          	3.12500888          	21        	STABLE                   	infinity                 	1.07%     	8       	        	            
14 	C      	6  	8  	0.0000  	0+            	3.019893            	4         	5700 Y 30                	1.799E11                 	          	        	B-      	100.00      
15 	C      	6  	9  	0.0000  	1/2+          	9.8731              	8         	2.449 S 5                	2.449                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694              	4         	0.747 S 8                	0.747                    	          	        	B-      	100.00      
16 	C      	6  	10 	0.0000  	0+            	13.694              	4         	0.747 S 8                	0.747                    	          	        	BN      	99.20       
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	17        	191 MS 6                 	0.191                    	          	        	B-      	100.00      
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	17        	191 MS 6                 	0.191                    	          	        	BN      	28.40       
17 	C      	6  	11 	0.0000  	3/2+          	21.032              	17        	191 MS 6                 	0.191                    	          	        	B2N     	?           
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	B2N     	?           
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	B3N     	?           
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	B-      	100.00      
18 	C      	6  	12 	0.0000  	0+            	24.92               	3         	92 MS 2                  	0.092                    	          	        	BN      	22.00       
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	B2N     	7.00        
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	B3N     	?           
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	B-      	100.00      
19 	C      	6  	13 	0.0000  	1/2+          	32.41               	10        	46.2 MS 40               	0.0462                   	          	        	BN      	47.00       
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	B3N     	?           
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	B-      	100.00      
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	BN      	66.00       
20 	C      	6  	14 	0.0000  	0+            	37.50               	23        	16.2 MS 35               	0.0162                   	          	        	B2N     	&lt; 18.60     
21 	C      	6  	15 	0.0000  	(1/2+)        	45.6                	6         	30 NS LT                 	3.0000000000000004E-8    	          	        	N       	?           
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	B2N     	&lt; 37.00     
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	B3N     	?           
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	B-      	100.00      
22 	C      	6  	16 	0.0000  	0+            	53.61               	23        	6.1 MS +14-12            	0.0061                   	          	        	BN      	61.00       
10 	N      	7  	3  	0.0000  	              	38.8                	4         	                         	                         	          	        	P       	100.00      
11 	N      	7  	4  	0.0000  	1/2+          	24.30               	5         	0.83 MEV 3               	5.49E-22                 	          	        	P       	100.00      
12 	N      	7  	5  	0.0000  	1+            	17.3381             	10        	11.000 MS 16             	0.011                    	          	        	EC      	100.00      
13 	N      	7  	6  	0.0000  	1/2-          	5.3455              	3         	9.965 M 4                	597.9                    	          	        	EC      	100.00      
14 	N      	7  	7  	0.0000  	1+            	2.86341672          	19        	STABLE                   	infinity                 	99.63     	6% 20   	        	            
15 	N      	7  	8  	0.0000  	1/2-          	0.1014387           	6         	STABLE                   	infinity                 	0.364%    	20      	        	            
16 	N      	7  	9  	0.0000  	2-            	5.6839              	23        	7.13 S 2                 	7.13                     	          	        	BA      	1.2E-3      
16 	N      	7  	9  	0.0000  	2-            	5.6839              	23        	7.13 S 2                 	7.13                     	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.870               	15        	4171 MS 4                	4.171                    	          	        	B-      	100.00      
17 	N      	7  	10 	0.0000  	1/2-          	7.870               	15        	4171 MS 4                	4.171                    	          	        	BA      	0.00        
17 	N      	7  	10 	0.0000  	1/2-          	7.870               	15        	4171 MS 4                	4.171                    	          	        	BN      	95.10       
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	BA      	12.20       
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	BN      	10.90       
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	B2N     	?           
18 	N      	7  	11 	0.0000  	1-            	13.113              	19        	619 MS 2                 	0.619                    	          	        	B-      	100.00      
19 	N      	7  	12 	0.0000  	              	15.856              	16        	336 MS 3                 	0.336                    	          	        	B2N     	?           
19 	N      	7  	12 	0.0000  	              	15.856              	16        	336 MS 3                 	0.336                    	          	        	B-      	100.00      
19 	N      	7  	12 	0.0000  	              	15.856              	16        	336 MS 3                 	0.336                    	          	        	BN      	41.80       
20 	N      	7  	13 	0.0000  	-             	21.77               	8         	136 MS 3                 	0.136                    	          	        	B-      	100.00      
20 	N      	7  	13 	0.0000  	-             	21.77               	8         	136 MS 3                 	0.136                    	          	        	BN      	42.90       
20 	N      	7  	13 	0.0000  	-             	21.77               	8         	136 MS 3                 	0.136                    	          	        	B2N     	?           
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	B-      	100.00      
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	BN      	86.00       
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	B2N     	?           
21 	N      	7  	14 	0.0000  	(1/2-)        	25.23               	13        	84.8 MS 67               	0.0848                   	          	        	B3N     	?           
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	BN      	34.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	B2N     	12.00       
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	B3N     	?           
22 	N      	7  	15 	0.0000  	(0-,1-)       	31.76               	21        	19.5 MS 20               	0.0195                   	          	        	B-      	100.00      
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	BN      	42.20       
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	B2N     	8.00        
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	B3N     	&lt; 3.40      
23 	N      	7  	16 	0.0000  	              	36.7                	4         	14.1 MS +12-13           	0.0141                   	          	        	B-      	100.00      
24 	N      	7  	17 	0.0000  	              	46.9                	4         	52 NS LT                 	5.2E-8                   	          	        	N       	?           
12 	O      	8  	4  	0.0000  	0+            	31.915              	24        	0.40 MEV 25              	1.139E-21                	          	        	P       	            
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115              	10        	8.58 MS 5                	0.00858                  	          	        	EC      	100.00      
13 	O      	8  	5  	0.0000  	(3/2-)        	23.115              	10        	8.58 MS 5                	0.00858                  	          	        	EP      	11.30       
14 	O      	8  	6  	0.0000  	0+            	8.00778             	3         	70.620 S 15              	70.62                    	          	        	EC      	100.00      
15 	O      	8  	7  	0.0000  	1/2-          	2.8556              	5         	122.24 S 16              	122.24                   	          	        	EC      	100.00      
16 	O      	8  	8  	0.0000  	0+            	-4.73700135         	16        	STABLE                   	infinity                 	99.757%   	16      	        	            
17 	O      	8  	9  	0.0000  	5/2+          	-0.8087635          	7         	STABLE                   	infinity                 	0.038%    	1       	        	            
18 	O      	8  	10 	0.0000  	0+            	-0.7828156          	7         	STABLE                   	infinity                 	0.205%    	14      	        	            
19 	O      	8  	11 	0.0000  	5/2+          	3.333               	3         	26.88 S 5                	26.88                    	          	        	B-      	100.00      
20 	O      	8  	12 	0.0000  	0+            	3.7962              	9         	13.51 S 5                	13.51                    	          	        	B-      	100.00      
21 	O      	8  	13 	0.0000  	(5/2+)        	8.062               	12        	3.42 S 10                	3.42                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28                	6         	2250 MS 90               	2.25                     	          	        	B-      	100.00      
22 	O      	8  	14 	0.0000  	0+            	9.28                	6         	2250 MS 90               	2.25                     	          	        	BN      	&lt; 22.00     
23 	O      	8  	15 	0.0000  	1/2+          	14.62               	12        	97 MS 8                  	0.097                    	          	        	B-      	100.00      
