A  	Element	Z  	N  	Energy  	JPi           	Mass Exc            	Unc       	T1/2 (txt)               	T1/2 (seconds)           	Abund.    	Unc     	Dec Mode	Branching (%) 
183	Tl     	81 	102	0.0000  	(1/2+)        	-16.587             	9         	6.9 S 7                  	6.9                      	          	        	A       	            
183	Tl     	81 	102	0.0000  	(1/2+)        	-16.587             	9         	6.9 S 7                  	6.9                      	          	        	EC      	&gt; 0.00      
184	Tl     	81 	103	0.0000  	              	-16.883             	10        	10.1 S 5                 	10.1                     	          	        	EC      	97.90       
184	Tl     	81 	103	0.0000  	              	-16.883             	10        	10.1 S 5                 	10.1                     	          	        	A       	2.10        
185	Tl     	81 	104	0.0000  	(1/2+)        	-19.758             	21        	19.5 S 5                 	19.5                     	          	        	EC      	            
186	Tl     	81 	105	0.0000  	(7+)          	-19.887             	22        	27.5 S 10                	27.5                     	          	        	EC      	100.00      
186	Tl     	81 	105	0.0000  	(7+)          	-19.887             	22        	27.5 S 10                	27.5                     	          	        	A       	~ 6.0E-3    
187	Tl     	81 	106	0.0000  	(1/2+)        	-22.445             	8         	51 S AP                  	51                       	          	        	EC      	100.00      
187	Tl     	81 	106	0.0000  	(1/2+)        	-22.445             	8         	51 S AP                  	51                       	          	        	A       	~ 0.03      
188	Tl     	81 	107	0.0000  	(2-)          	-22.34              	3         	71 S 2                   	71                       	          	        	EC      	100.00      
188	Tl     	81 	107	0.0000  	(7+)          	-22.34              	3         	71 S 1                   	71                       	          	        	EC      	100.00      
189	Tl     	81 	108	0.0000  	(1/2+)        	-24.616             	8         	2.3 M 2                  	138                      	          	        	EC      	100.00      
190	Tl     	81 	109	0.0000  	2(-)          	-24.372             	8         	2.6 M 3                  	156                      	          	        	EC      	100.00      
190	Tl     	81 	109	0.0000  	7(+)          	-24.372             	8         	3.7 M 3                  	222                      	          	        	EC      	100.00      
191	Tl     	81 	110	0.0000  	(1/2+)        	-26.283             	7         	                         	                         	          	        	EC      	100.00      
191	Tl     	81 	110	0.0000  	9/2(-)        	-26.283             	7         	5.22 M 16                	313.2                    	          	        	        	            
192	Tl     	81 	111	0.0000  	(2-)          	-25.87              	3         	9.6 M 4                  	576                      	          	        	EC      	100.00      
193	Tl     	81 	112	0.0000  	1/2(+)        	-27.477             	7         	21.6 M 8                 	1296                     	          	        	EC      	100.00      
194	Tl     	81 	113	0.0000  	2-            	-26.937             	14        	33.0 M 5                 	1980                     	          	        	EC      	100.00      
194	Tl     	81 	113	0.0000  	2-            	-26.937             	14        	33.0 M 5                 	1980                     	          	        	A       	&lt; 1.0E-7    
194	Tl     	81 	113	0.0000  	(7+)          	-26.937             	14        	32.8 M 2                 	1967.1                   	          	        	EC      	100.00      
195	Tl     	81 	114	0.0000  	1/2+          	-28.155             	11        	1.16 H 5                 	4176                     	          	        	EC      	100.00      
196	Tl     	81 	115	0.0000  	2-            	-27.497             	12        	1.84 H 3                 	6624                     	          	        	EC      	100.00      
197	Tl     	81 	116	0.0000  	1/2+          	-28.342             	16        	2.84 H 4                 	10224                    	          	        	EC      	100.00      
198	Tl     	81 	117	0.0000  	2-            	-27.529             	8         	5.3 H 5                  	19080                    	          	        	EC      	100.00      
199	Tl     	81 	118	0.0000  	1/2+          	-28.06              	3         	7.42 H 8                 	26712                    	          	        	EC      	100.00      
200	Tl     	81 	119	0.0000  	2-            	-27.047             	6         	26.1 H 1                 	93960                    	          	        	EC      	100.00      
201	Tl     	81 	120	0.0000  	1/2+          	-27.181             	14        	3.0421 D 17              	262837.44                	          	        	EC      	100.00      
202	Tl     	81 	121	0.0000  	2-            	-25.9802            	16        	12.31 D 8                	1063584                  	          	        	EC      	100.00      
203	Tl     	81 	122	0.0000  	1/2+          	-25.7614            	12        	STABLE                   	infinity                 	29.524%   	1       	        	            
204	Tl     	81 	123	0.0000  	2-            	-24.3461            	12        	3.783 Y 12               	1.194E8                  	          	        	B-      	97.08       
204	Tl     	81 	123	0.0000  	2-            	-24.3461            	12        	3.783 Y 12               	1.194E8                  	          	        	EC      	2.92        
205	Tl     	81 	124	0.0000  	1/2+          	-23.8209            	12        	STABLE                   	infinity                 	70.48%    	1       	        	            
206	Tl     	81 	125	0.0000  	0-            	-22.2534            	13        	4.202 M 11               	252.12                   	          	        	B-      	100.00      
207	Tl     	81 	126	0.0000  	1/2+          	-21.034             	5         	4.77 M 3                 	286.2                    	          	        	B-      	100.00      
208	Tl     	81 	127	0.0000  	5+            	-16.7501            	19        	3.053 M 4                	183.18                   	          	        	B-      	100.00      
209	Tl     	81 	128	0.0000  	1/2+          	-13.645             	6         	2.162 M 7                	129.72                   	          	        	B-      	100.00      
210	Tl     	81 	129	0.0000  	(5+)          	-9.247              	12        	1.30 M 3                 	78                       	          	        	B-      	100.00      
210	Tl     	81 	129	0.0000  	(5+)          	-9.247              	12        	1.30 M 3                 	78                       	          	        	BN      	7.0E-3      
211	Tl     	81 	130	0.0000  	              	-6.08               	4         	88 S +46-29              	88                       	          	        	B-      	100.00      
211	Tl     	81 	130	0.0000  	              	-6.08               	4         	88 S +46-29              	88                       	          	        	BN      	?           
212	Tl     	81 	131	0.0000  	              	-1.55               	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
213	Tl     	81 	132	0.0000  	              	1.78                	3         	101 S +486-46            	101                      	          	        	B-      	100.00      
214	Tl     	81 	133	0.0000  	              	6.47                	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
214	Tl     	81 	133	0.0000  	              	6.47                	20        	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
215	Tl     	81 	134	0.0000  	              	9.9                 	3         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	?           
215	Tl     	81 	134	0.0000  	              	9.9                 	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
216	Tl     	81 	135	0.0000  	              	14.7                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
216	Tl     	81 	135	0.0000  	              	14.7                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
217	Tl     	81 	136	0.0000  	              	18.3                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
217	Tl     	81 	136	0.0000  	              	18.3                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
178	Pb     	82 	96 	0.0000  	0+            	3.574               	24        	0.12 MS +22-5            	1.2E-4                   	          	        	A       	100.00      
179	Pb     	82 	97 	0.0000  	(9/2-)        	2.05                	8         	3.5 MS +14-8             	0.0035                   	          	        	A       	100.00      
180	Pb     	82 	98 	0.0000  	0+            	-1.941              	12        	4.1 MS 3                 	0.0041                   	          	        	A       	~ 100.00    
181	Pb     	82 	99 	0.0000  	(9/2-)        	-3.12               	8         	36 MS 2                  	0.036                    	          	        	A       	100.00      
181	Pb     	82 	99 	0.0000  	(13/2+)       	-3.12               	8         	45 MS 20                 	0.045                    	          	        	A       	&lt; 100.00    
182	Pb     	82 	100	0.0000  	0+            	-6.825              	12        	55 MS 5                  	0.055                    	          	        	A       	~ 98.00     
182	Pb     	82 	100	0.0000  	0+            	-6.825              	12        	55 MS 5                  	0.055                    	          	        	EC      	~ 2.00      
183	Pb     	82 	101	0.0000  	(3/2-)        	-7.58               	3         	535 MS 30                	0.535                    	          	        	A       	~ 90.00     
184	Pb     	82 	102	0.0000  	0+            	-11.052             	13        	490 MS 25                	0.49                     	          	        	EC      	20.00       
184	Pb     	82 	102	0.0000  	0+            	-11.052             	13        	490 MS 25                	0.49                     	          	        	A       	80.00       
185	Pb     	82 	103	0.0000  	3/2-          	-11.541             	16        	6.3 S 4                  	6.3                      	          	        	EC      	            
185	Pb     	82 	103	0.0000  	3/2-          	-11.541             	16        	6.3 S 4                  	6.3                      	          	        	A       	34.00       
185	Pb     	82 	103	0.0000  	13/2+         	-11.541             	16        	4.3 S 2                  	4.3                      	          	        	EC      	            
185	Pb     	82 	103	0.0000  	13/2+         	-11.541             	16        	4.3 S 2                  	4.3                      	          	        	A       	50.00       
186	Pb     	82 	104	0.0000  	0+            	-14.682             	11        	4.82 S 3                 	4.82                     	          	        	EC      	60.00       
186	Pb     	82 	104	0.0000  	0+            	-14.682             	11        	4.82 S 3                 	4.82                     	          	        	A       	40.00       
187	Pb     	82 	105	0.0000  	(3/2-)        	-14.987             	5         	15.2 S 3                 	15.2                     	          	        	EC      	88.00       
187	Pb     	82 	105	0.0000  	(3/2-)        	-14.987             	5         	15.2 S 3                 	15.2                     	          	        	A       	12.00       
188	Pb     	82 	106	0.0000  	0+            	-17.815             	11        	25.1 S 1                 	25.1                     	          	        	EC      	90.70       
188	Pb     	82 	106	0.0000  	0+            	-17.815             	11        	25.1 S 1                 	25.1                     	          	        	A       	9.30        
189	Pb     	82 	107	0.0000  	(3/2-)        	-17.844             	14        	39 S 8                   	39                       	          	        	EC      	100.00      
189	Pb     	82 	107	0.0000  	(3/2-)        	-17.844             	14        	39 S 8                   	39                       	          	        	A       	&lt; 1.00      
190	Pb     	82 	108	0.0000  	0+            	-20.417             	13        	71 S 1                   	71                       	          	        	EC      	99.60       
190	Pb     	82 	108	0.0000  	0+            	-20.417             	13        	71 S 1                   	71                       	          	        	A       	0.40        
191	Pb     	82 	109	0.0000  	(3/2-)        	-20.23              	4         	1.33 M 8                 	79.8                     	          	        	EC      	99.99       
191	Pb     	82 	109	0.0000  	(3/2-)        	-20.23              	4         	1.33 M 8                 	79.8                     	          	        	A       	0.01        
191	Pb     	82 	109	0.0000  	(13/2+)       	-20.23              	4         	2.18 M 8                 	130.8                    	          	        	A       	~ 0.02      
191	Pb     	82 	109	0.0000  	(13/2+)       	-20.23              	4         	2.18 M 8                 	130.8                    	          	        	EC      	100.00      
192	Pb     	82 	110	0.0000  	0+            	-22.556             	13        	3.5 M 1                  	210                      	          	        	EC      	99.99       
192	Pb     	82 	110	0.0000  	0+            	-22.556             	13        	3.5 M 1                  	210                      	          	        	A       	5.9E-3      
193	Pb     	82 	111	0.0000  	(3/2-)        	-22.19              	5         	                         	                         	          	        	EC      	            
193	Pb     	82 	111	0.0000  	(13/2+)       	-22.19              	5         	5.8 M 2                  	348                      	          	        	EC      	100.00      
194	Pb     	82 	112	0.0000  	0+            	-24.208             	17        	10.7 M 6                 	642                      	          	        	EC      	100.00      
194	Pb     	82 	112	0.0000  	0+            	-24.208             	17        	10.7 M 6                 	642                      	          	        	A       	7.3E-6      
195	Pb     	82 	113	0.0000  	3/2-          	-23.708             	18        	15.0 M AP                	900                      	          	        	EC      	100.00      
196	Pb     	82 	114	0.0000  	0+            	-25.348             	8         	37 M 3                   	2220                     	          	        	A       	&lt;= 3.0E-5   
196	Pb     	82 	114	0.0000  	0+            	-25.348             	8         	37 M 3                   	2220                     	          	        	EC      	            
197	Pb     	82 	115	0.0000  	3/2-          	-24.745             	5         	8.1 M 17                 	486                      	          	        	EC      	100.00      
198	Pb     	82 	116	0.0000  	0+            	-26.067             	9         	2.4 H 1 1                	8640                     	          	        	EC      	100.00      
199	Pb     	82 	117	0.0000  	3/2-          	-25.232             	10        	90 M 10                  	5400                     	          	        	EC      	100.00      
200	Pb     	82 	118	0.0000  	0+            	-26.251             	11        	21.5 H 4                 	77400                    	          	        	EC      	100.00      
201	Pb     	82 	119	0.0000  	5/2-          	-25.271             	14        	9.33 H 3                 	33588                    	          	        	EC      	100.00      
202	Pb     	82 	120	0.0000  	0+            	-25.941             	4         	52.5E+3 Y 28             	1.657E12                 	          	        	EC      	100.00      
203	Pb     	82 	121	0.0000  	5/2-          	-24.787             	7         	51.92 H 3                	186912                   	          	        	EC      	100.00      
204	Pb     	82 	122	0.0000  	0+            	-25.1099            	11        	1.4E+17 Y GE             	4.418E24                 	1.4%      	1       	A       	            
205	Pb     	82 	123	0.0000  	5/2-          	-23.7702            	11        	1.73E+7 Y 7              	5.459E14                 	          	        	EC      	100.00      
206	Pb     	82 	124	0.0000  	0+            	-23.7856            	11        	STABLE                   	infinity                 	24.1%     	1       	        	            
207	Pb     	82 	125	0.0000  	1/2-          	-22.4520            	11        	STABLE                   	infinity                 	22.1%     	1       	        	            
208	Pb     	82 	126	0.0000  	0+            	-21.7486            	11        	STABLE                   	infinity                 	52.4%     	1       	        	            
209	Pb     	82 	127	0.0000  	9/2+          	-17.6146            	17        	3.234 H 7                	11642.4                  	          	        	B-      	100.00      
210	Pb     	82 	128	0.0000  	0+            	-14.7285            	14        	22.20 Y 22               	7.00579E8                	          	        	B-      	100.00      
210	Pb     	82 	128	0.0000  	0+            	-14.7285            	14        	22.20 Y 22               	7.00579E8                	          	        	A       	1.9E-6      
211	Pb     	82 	129	0.0000  	9/2+          	-10.4929            	23        	36.1 M 2                 	2166                     	          	        	B-      	100.00      
212	Pb     	82 	130	0.0000  	0+            	-7.5488             	18        	10.64 H 1                	38304                    	          	        	B-      	100.00      
213	Pb     	82 	131	0.0000  	(9/2+)        	-3.204              	7         	10.2 M 3                 	612                      	          	        	B-      	100.00      
214	Pb     	82 	132	0.0000  	0+            	-0.1828             	20        	27.06 M 7                	1623.6                   	          	        	B-      	100.00      
215	Pb     	82 	133	0.0000  	              	4.34                	5         	147 S 12                 	147                      	          	        	B-      	100.00      
216	Pb     	82 	134	0.0000  	0+            	7.48                	20        	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
217	Pb     	82 	135	0.0000  	              	12.2                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
218	Pb     	82 	136	0.0000  	0+            	15.5                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
219	Pb     	82 	137	0.0000  	              	20.3                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
220	Pb     	82 	138	0.0000  	0+            	23.7                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
184	Bi     	83 	101	0.0000  	              	1.06                	8         	13 MS 2                  	0.013                    	          	        	A       	100.00      
184	Bi     	83 	101	0.0000  	              	1.06                	8         	13 MS 2                  	0.013                    	          	        	A       	100.00      
185	Bi     	83 	102	0.0000  	1/2+          	-2.24               	8         	58 US 4                  	5.8E-5                   	          	        	P       	90.00       
185	Bi     	83 	102	0.0000  	1/2+          	-2.24               	8         	58 US 4                  	5.8E-5                   	          	        	A       	10.00       
186	Bi     	83 	103	0.0000  	(3+)          	-3.146              	17        	14.8 MS 8                	0.0148                   	          	        	A       	100.00      
186	Bi     	83 	103	0.0000  	(10-)         	-3.146              	17        	9.8 MS 4    4            	0.0098                   	          	        	A       	100.00      
187	Bi     	83 	104	0.0000  	(9/2-)        	-6.383              	10        	37 MS 2                  	0.037                    	          	        	A       	100.00      
188	Bi     	83 	105	0.0000  	(10-)         	-7.195              	11        	265 MS 15                	0.265                    	          	        	A       	100.00      
188	Bi     	83 	105	0.0000  	(10-)         	-7.195              	11        	265 MS 15                	0.265                    	          	        	EC      	?           
188	Bi     	83 	105	0.0000  	(3+)          	-7.195              	11        	60 MS 3                  	0.06                     	          	        	A       	100.00      
188	Bi     	83 	105	0.0000  	(3+)          	-7.195              	11        	60 MS 3                  	0.06                     	          	        	EC      	?           
189	Bi     	83 	106	0.0000  	(9/2-)        	-10.065             	21        	674 MS 11                	0.674                    	          	        	A       	&gt; 50.00     
189	Bi     	83 	106	0.0000  	(9/2-)        	-10.065             	21        	674 MS 11                	0.674                    	          	        	EC      	&lt; 50.00     
190	Bi     	83 	107	0.0000  	(3+)          	-10.600             	23        	6.3 S 1                  	6.3                      	          	        	A       	90.00       
190	Bi     	83 	107	0.0000  	(3+)          	-10.600             	23        	6.3 S 1                  	6.3                      	          	        	EC      	10.00       
190	Bi     	83 	107	0.0000  	(10-)         	-10.600             	23        	6.2 S 1                  	6.2                      	          	        	A       	70.00       
190	Bi     	83 	107	0.0000  	(10-)         	-10.600             	23        	6.2 S 1                  	6.2                      	          	        	EC      	30.00       
191	Bi     	83 	108	0.0000  	(9/2-)        	-13.239             	7         	12.4 S 3                 	12.4                     	          	        	A       	51.00       
191	Bi     	83 	108	0.0000  	(9/2-)        	-13.239             	7         	12.4 S 3                 	12.4                     	          	        	EC      	49.00       
192	Bi     	83 	109	0.0000  	(3+)          	-13.53              	3         	34.6 S 9                 	34.6                     	          	        	A       	12.00       
192	Bi     	83 	109	0.0000  	(3+)          	-13.53              	3         	34.6 S 9                 	34.6                     	          	        	EC      	88.00       
193	Bi     	83 	110	0.0000  	(9/2-)        	-15.885             	8         	63.6 S 30                	63.6                     	          	        	EC      	96.50       
193	Bi     	83 	110	0.0000  	(9/2-)        	-15.885             	8         	63.6 S 30                	63.6                     	          	        	A       	3.50        
194	Bi     	83 	111	0.0000  	(3+)          	-16.029             	6         	95 S 3                   	95                       	          	        	A       	0.46        
194	Bi     	83 	111	0.0000  	(3+)          	-16.029             	6         	95 S 3                   	95                       	          	        	EC      	99.54       
194	Bi     	83 	111	0.0000  	(6+,7+)       	-16.029             	6         	125 S 2                  	125                      	          	        	EC      	100.00      
194	Bi     	83 	111	0.0000  	(10-)         	-16.029             	6         	115 S 4                  	115                      	          	        	EC      	99.80       
194	Bi     	83 	111	0.0000  	(10-)         	-16.029             	6         	115 S 4                  	115                      	          	        	A       	0.20        
195	Bi     	83 	112	0.0000  	(9/2-)        	-18.026             	5         	183 S 4                  	183                      	          	        	A       	0.03        
195	Bi     	83 	112	0.0000  	(9/2-)        	-18.026             	5         	183 S 4                  	183                      	          	        	EC      	99.97       
196	Bi     	83 	113	0.0000  	(3+)          	-18.009             	24        	308 S 12                 	308                      	          	        	EC      	100.00      
196	Bi     	83 	113	0.0000  	(3+)          	-18.009             	24        	308 S 12                 	308                      	          	        	A       	1.2E-3      
197	Bi     	83 	114	0.0000  	(9/2-)        	-19.687             	8         	9.33 M 50                	559.8                    	          	        	A       	1.0E-4      
197	Bi     	83 	114	0.0000  	(9/2-)        	-19.687             	8         	9.33 M 50                	559.8                    	          	        	EC      	100.00      
198	Bi     	83 	115	0.0000  	(2+,3+)       	-19.37              	3         	10.3 M 3                 	618                      	          	        	EC      	100.00      
198	Bi     	83 	115	0.0000  	(7+)          	-19.37              	3         	1.6 M 3                  	96                       	          	        	EC      	100.00      
199	Bi     	83 	116	0.0000  	9/2-          	-20.798             	11        	27 M 1                   	1620                     	          	        	EC      	100.00      
200	Bi     	83 	117	0.0000  	7+            	-20.371             	22        	36.4 M 5                 	2184                     	          	        	EC      	100.00      
200	Bi     	83 	117	0.0000  	(2+)          	-20.371             	22        	31 M 2                   	1860                     	          	        	EC      	&lt;= 100.00   
201	Bi     	83 	118	0.0000  	9/2-          	-21.416             	15        	103 M 3                  	6180                     	          	        	EC      	100.00      
202	Bi     	83 	119	0.0000  	5+            	-20.741             	15        	1.71 H 4                 	6156                     	          	        	EC      	100.00      
203	Bi     	83 	120	0.0000  	9/2-          	-21.525             	13        	11.76 H 5                	42336                    	          	        	EC      	100.00      
204	Bi     	83 	121	0.0000  	6+            	-20.646             	9         	11.22 H 10               	40392                    	          	        	EC      	100.00      
205	Bi     	83 	122	0.0000  	9/2-          	-21.065             	5         	15.31 D 4                	1322784                  	          	        	EC      	100.00      
206	Bi     	83 	123	0.0000  	6+            	-20.028             	8         	6.243 D 3                	539395.2                 	          	        	EC      	100.00      
207	Bi     	83 	124	0.0000  	9/2-          	-20.0546            	24        	31.55 Y 4                	9.956E8                  	          	        	EC      	100.00      
208	Bi     	83 	125	0.0000  	5+            	-18.8702            	23        	3.68E+5 Y 4              	1.161E13                 	          	        	EC      	100.00      
209	Bi     	83 	126	0.0000  	9/2-          	-18.2587            	14        	2.01E19 Y 8              	6.343E26                 	100%      	        	A       	100.0       
210	Bi     	83 	127	0.0000  	1-            	-14.7920            	14        	5.012 D 5                	433036.8                 	          	        	B-      	100.00      
210	Bi     	83 	127	0.0000  	1-            	-14.7920            	14        	5.012 D 5                	433036.8                 	          	        	A       	1.3E-4      
211	Bi     	83 	128	0.0000  	9/2-          	-11.859             	5         	2.14 M 2                 	128.4                    	          	        	A       	99.72       
211	Bi     	83 	128	0.0000  	9/2-          	-11.859             	5         	2.14 M 2                 	128.4                    	          	        	B-      	0.28        
212	Bi     	83 	129	0.0000  	1(-)          	-8.1180             	19        	60.55 M 6                	3633                     	          	        	B-      	64.06       
212	Bi     	83 	129	0.0000  	1(-)          	-8.1180             	19        	60.55 M 6                	3633                     	          	        	A       	35.94       
213	Bi     	83 	130	0.0000  	9/2-          	-5.232              	5         	45.61 M 6                	2736.6                   	          	        	B-      	97.80       
213	Bi     	83 	130	0.0000  	9/2-          	-5.232              	5         	45.61 M 6                	2736.6                   	          	        	A       	2.20        
214	Bi     	83 	131	0.0000  	1-            	-1.201              	11        	19.9 M 4                 	1194                     	          	        	B-      	99.98       
214	Bi     	83 	131	0.0000  	1-            	-1.201              	11        	19.9 M 4                 	1194                     	          	        	A       	0.02        
215	Bi     	83 	132	0.0000  	(9/2-)        	1.629               	6         	7.6 M 2                  	456                      	          	        	B-      	100.00      
216	Bi     	83 	133	0.0000  	(6-,7-)       	5.874               	11        	2.25 M 5                 	135                      	          	        	B-      	&lt;= 100.00   
216	Bi     	83 	133	0.0000  	(3)           	5.874               	11        	6.6 M 21                 	396                      	          	        	B-      	&lt;= 100.00   
217	Bi     	83 	134	0.0000  	(9/2-)        	8.730               	18        	98.5 S 8                 	98.5                     	          	        	B-      	100.00      
218	Bi     	83 	135	0.0000  	              	13.22               	3         	33 S 1                   	33                       	          	        	B-      	100.00      
219	Bi     	83 	136	0.0000  	              	16.28               	20        	22 S 7                   	22                       	          	        	B-      	100.00      
220	Bi     	83 	137	0.0000  	              	20.8                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
221	Bi     	83 	138	0.0000  	              	24.1                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
221	Bi     	83 	138	0.0000  	              	24.1                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
222	Bi     	83 	139	0.0000  	              	28.7                	3         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
223	Bi     	83 	140	0.0000  	              	32.1                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
223	Bi     	83 	140	0.0000  	              	32.1                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	            
224	Bi     	83 	141	0.0000  	              	36.8                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	B-      	100.00      
224	Bi     	83 	141	0.0000  	              	36.8                	4         	300 NS GT                	3.0000000000000004E-7    	          	        	BN      	?           
186	Po     	84 	102	0.0000  	0+            	4.101               	18        	28 US +16-6              	2.8E-5                   	          	        	A       	~ 100.00    
187	Po     	84 	103	0.0000  	(1/2-,5/2-)   	2.83                	3         	1.40 MS 25               	0.0014                   	          	        	A       	100.00      
188	Po     	84 	104	0.0000  	0+            	-0.544              	20        	0.275 MS 30              	2.75E-4                  	          	        	A       	            
188	Po     	84 	104	0.0000  	0+            	-0.544              	20        	0.275 MS 30              	2.75E-4                  	          	        	EC      	100.00      
189	Po     	84 	105	0.0000  	(7/2-)        	-1.422              	22        	3.5 MS 5                 	0.0035                   	          	        	A       	100.00      
190	Po     	84 	106	0.0000  	0+            	-4.564              	13        	2.46 MS 5                	0.00246                  	          	        	A       	100.00      
191	Po     	84 	107	0.0000  	(3/2-)        	-5.069              	7         	22 MS 1                  	0.022                    	          	        	A       	99.00       
192	Po     	84 	108	0.0000  	0+            	-8.071              	11        	32.2 MS 3                	0.0322                   	          	        	A       	~ 99.50     
192	Po     	84 	108	0.0000  	0+            	-8.071              	11        	32.2 MS 3                	0.0322                   	          	        	EC      	~ 0.50      
193	Po     	84 	109	0.0000  	(13/2+)       	-8.325              	15        	245 MS 11                	0.245                    	          	        	A       	&lt;= 100.00   
193	Po     	84 	109	0.0000  	(3/2-)        	-8.325              	15        	388 MS 40                	0.388                    	          	        	A       	&lt;= 100.00   
194	Po     	84 	110	0.0000  	0+            	-11.005             	13        	0.392 S 4                	0.392                    	          	        	EC      	            
194	Po     	84 	110	0.0000  	0+            	-11.005             	13        	0.392 S 4                	0.392                    	          	        	A       	100.00      
195	Po     	84 	111	0.0000  	(3/2-)        	-11.06              	4         	4.64 S 9                 	4.64                     	          	        	A       	94.00       
195	Po     	84 	111	0.0000  	(3/2-)        	-11.06              	4         	4.64 S 9                 	4.64                     	          	        	EC      	4.00        
196	Po     	84 	112	0.0000  	0+            	-13.473             	14        	5.8 S 2                  	5.8                      	          	        	EC      	~ 2.00      
196	Po     	84 	112	0.0000  	0+            	-13.473             	14        	5.8 S 2                  	5.8                      	          	        	A       	~ 98.00     
197	Po     	84 	113	0.0000  	(3/2-)        	-13.36              	5         	84 S 16                  	84                       	          	        	EC      	56.00       
197	Po     	84 	113	0.0000  	(3/2-)        	-13.36              	5         	84 S 16                  	84                       	          	        	A       	44.00       
198	Po     	84 	114	0.0000  	0+            	-15.473             	17        	1.760 M 24               	105.6                    	          	        	A       	57.00       
198	Po     	84 	114	0.0000  	0+            	-15.473             	17        	1.760 M 24               	105.6                    	          	        	E       	43.00       
199	Po     	84 	115	0.0000  	(3/2-)        	-15.208             	18        	5.47 M 15                	328.2                    	          	        	EC      	92.50       
199	Po     	84 	115	0.0000  	(3/2-)        	-15.208             	18        	5.47 M 15                	328.2                    	          	        	A       	7.50        
200	Po     	84 	116	0.0000  	0+            	-16.942             	8         	11.51 M 8                	690.6                    	          	        	EC      	88.90       
200	Po     	84 	116	0.0000  	0+            	-16.942             	8         	11.51 M 8                	690.6                    	          	        	A       	11.10       
201	Po     	84 	117	0.0000  	3/2-          	-16.521             	5         	15.6 M 1                 	936                      	          	        	EC      	98.87       
201	Po     	84 	117	0.0000  	3/2-          	-16.521             	5         	15.6 M 1                 	936                      	          	        	A       	1.13        
202	Po     	84 	118	0.0000  	0+            	-17.942             	9         	44.6 M 4                 	2676                     	          	        	EC      	98.08       
202	Po     	84 	118	0.0000  	0+            	-17.942             	9         	44.6 M 4                 	2676                     	          	        	A       	1.92        
203	Po     	84 	119	0.0000  	5/2-          	-17.311             	9         	36.7 M 5                 	2202                     	          	        	A       	0.11        
203	Po     	84 	119	0.0000  	5/2-          	-17.311             	9         	36.7 M 5                 	2202                     	          	        	EC      	99.89       
204	Po     	84 	120	0.0000  	0+            	-18.341             	11        	3.519 H 12               	12668.4                  	          	        	EC      	99.33       
204	Po     	84 	120	0.0000  	0+            	-18.341             	11        	3.519 H 12               	12668.4                  	          	        	A       	0.67        
205	Po     	84 	121	0.0000  	5/2-          	-17.521             	10        	1.74 H 8                 	6264                     	          	        	EC      	99.96       
205	Po     	84 	121	0.0000  	5/2-          	-17.521             	10        	1.74 H 8                 	6264                     	          	        	A       	0.04        
206	Po     	84 	122	0.0000  	0+            	-18.189             	4         	8.8 D 1                  	760320.0000000001        	          	        	EC      	94.55       
206	Po     	84 	122	0.0000  	0+            	-18.189             	4         	8.8 D 1                  	760320.0000000001        	          	        	A       	5.45        
207	Po     	84 	123	0.0000  	5/2-          	-17.146             	7         	5.80 H 2                 	20880                    	          	        	EC      	99.98       
207	Po     	84 	123	0.0000  	5/2-          	-17.146             	7         	5.80 H 2                 	20880                    	          	        	A       	0.02        
208	Po     	84 	124	0.0000  	0+            	-17.4696            	17        	2.898 Y 2                	9.145E7                  	          	        	A       	100.00      
208	Po     	84 	124	0.0000  	0+            	-17.4696            	17        	2.898 Y 2                	9.145E7                  	          	        	EC      	4.0E-3      
209	Po     	84 	125	0.0000  	1/2-          	-16.3661            	18        	124 Y 3                  	3.913E9                  	          	        	A       	99.55       
209	Po     	84 	125	0.0000  	1/2-          	-16.3661            	18        	124 Y 3                  	3.913E9                  	          	        	EC      	0.45        
