element,wave_A,loggf,lower_state_eV,rad,stark,waals
Ti 2,4211.468,-1.316,6.645,7.413102413009162e8,1.698243652461746e-6,-7.69
Fe 1,4211.515,-2.662,4.313,2.5703957827688646e8,5.128613839913648e-6,-7.39
Cr 1,4211.527,-1.68,2.983,4.5708818961487515e6,9.77237220955811e-7,262.258
Cr 1,4211.571,-3.223,3.889,1.0715193052376048e8,1.0232929922807537e-6,-7.73
Ce 2,4211.589,-0.49,2.213,,,
Fe 1,4211.623,-5.026,4.143,2.290867652767775e7,9.332543007969905e-5,-7.31
Fe 1,4211.647,-2.623,4.218,2.29086765276777e8,7.413102413009177e-6,-7.32
Ni 1,4211.65,-2.761,3.834,4.265795188015926e7,8.912509381337459e-5,-7.27
Ti 1,4211.654,-2.699,3.104,5.888436553555884e7,6.025595860743581e-6,-7.23
U 2,4211.658,-1.04,0.569,,,
Ti 1,4211.676,-2.285,3.112,6.606934480075964e7,5.011872336272725e-5,-7.3
Dy 1,4211.72,1.02,0.0,,,
Ti 1,4211.72,-0.644,2.488,1.445439770745928e8,2.0417379446695273e-6,-7.65
Mn 1,4211.745,-0.503,4.268,1.9952623149688828e8,6.760829753919819e-7,-7.77
Fe 1,4211.753,-5.421,4.143,2.187761623949552e7,3.467368504525317e-5,-7.32
Fe 2,4211.789,-5.303,2.642,3.630780547701018e8,2.3442288153199228e-7,221.237
Fe 1,4211.791,-4.423,4.473,2.691534803926914e8,1.3803842646028839e-5,-7.42
Ce 2,4211.818,-0.86,1.042,,,
Fe 1,4211.825,-2.45,4.283,2.7542287033381635e8,4.265795188015926e-6,-7.34
Os 1,4211.853,0.82,2.909,,,
Pr 2,4211.862,-0.414,0.55,,,
Zr 2,4211.877,-1.04,0.527,,,
Cr 1,4211.901,-5.08,2.545,2.29086765276777e8,3.3113112148259076e-5,-7.44
