element,wave_A,loggf,lower_state_eV,rad,stark,waals
Cr 2,8338.367,-6.985,12.949,9.549925860214369e8,1.584893192461114e-5,-7.32
Ar 2,8338.388,-0.24,23.438,,,
Ar 2,8338.449,-4.41,24.757,,,
Ti 1,8338.466,-3.564,4.225,2.8183829312644494e8,2.951209226666384e-6,-7.63
Tm 2,8338.499,-2.49,4.847,,,
Ca 1,8338.513,-6.029,5.902,1.698243652461746e7,0.0008128305161640995,-6.74
Ti 1,8338.534,-2.581,3.718,2.187761623949552e8,1.3182567385564074e-5,-7.56
Ti 3,8338.541,0.6,21.049,1.8197008586099825e9,1.2589254117941661e-5,-7.52
Fe 1,8338.545,-0.845,5.793,3.1622776601683795e8,0.00010232929922807536,-7.42
Cr 2,8338.576,-3.75,13.067,3.8904514499428046e8,2.4547089156850286e-5,-7.32
P 2,8338.576,-9.469,17.542,8.317637711026709e9,2.187761623949552e-5,-7.36
Ce 2,8338.592,-3.59,0.621,,,
Cr 1,8338.67,-1.089,4.419,3.63078054770101e7,2.3442288153199225e-5,-7.34
Cr 2,8338.687,-4.455,6.822,2.5703957827688646e8,2.818382931264455e-7,196.216
Fe 3,8338.701,-4.97,14.738,1.698243652461746e9,2.2387211385683377e-7,-7.95
Ti 1,8338.786,-4.059,3.691,3.090295432513592e8,8.91250938133746e-6,-7.55
V 2,8338.792,-5.859,7.855,5.754399373371567e8,1.9054607179632483e-6,-7.69
Fe 2,8338.794,-2.77,11.571,1.0232929922807536e9,1.6218100973589298e-6,560.293
Sc 1,8338.799,-3.525,5.405,6.4565422903465495e7,0.0011481536214968829,-6.86
C 2,8338.819,-10.693,20.702,1.6218100973589332e9,4.677351412871981e-5,-7.37
Fe 2,8338.846,-3.53,8.636,4.1686938347033465e8,2.8840315031266057e-7,229.191
Fe 2,8338.943,-2.979,7.494,4.1686938347033465e8,3.090295432513592e-7,221.188
Ca 1,8339.103,-0.826,4.535,1.7378008287493762e8,1.9498445997580456e-5,-7.45
Fe 2,8339.271,0.236,11.164,5.248074602497734e8,6.606934480075964e-6,-7.48
Fe 1,8339.402,-0.59,4.435,1.584893192461111e8,4.365158322401657e-6,-7.55
Ti 1,8339.409,-1.75,4.106,1.9952623149688828e8,5.4954087385762485e-6,-7.54
Ti 1,8339.77,-3.193,3.285,1.0232929922807537e8,4.570881896148752e-6,-7.76
Ni 1,8340.405,-3.584,3.796,1.5488166189124796e8,1.5488166189124828e-5,-7.56
Fe 1,8340.502,-1.721,5.067,1.5488166189124796e8,1.9952623149688787e-6,-7.71
Fe 1,8340.508,-3.023,5.946,8.709635899560814e7,8.128305161640995e-5,-7.28
Cr 2,8340.921,-2.913,6.605,2.0417379446695316e8,3.8018939632056126e-7,181.21
Fe 1,8341.278,-4.008,4.835,2.7542287033381635e8,5.4954087385762485e-6,-7.56
Cr 1,8341.807,-1.149,5.703,1.445439770745928e8,6.456542290346549e-6,-7.52
Cr 1,8341.809,-2.841,4.535,9.772372209558113e6,8.709635899560814e-7,-7.78
V 1,8341.958,-0.049,3.239,1.348962882591656e8,8.709635899560814e-6,-7.52
Fe 1,8342.205,-3.296,2.949,9.772372209558111e7,8.317637711026709e-7,-7.78
Fe 2,8342.304,-4.417,6.223,3.090295432513592e8,3.090295432513592e-7,173.209
Co 1,8342.668,-0.032,5.149,7.943282347242821e8,5.888436553555884e-6,-7.56
Fe 1,8342.772,-2.036,5.849,3.715352290971728e8,1.071519305237607e-5,-7.51
Fe 1,8342.856,-1.488,4.988,5.370317963702532e8,3.3884415613920275e-6,-7.53
Fe 1,8342.882,-3.743,5.793,2.187761623949552e8,0.00010232929922807536,-7.42
Ce 2,8342.897,-3.32,2.589,,,
Tm 2,8342.904,-3.43,4.174,,,
Ti 1,8342.932,-2.58,4.106,1.9952623149688828e8,2.884031503126606e-6,-7.54
Ca 1,8342.95,-1.542,4.532,1.7378008287493762e8,1.4125375446227555e-5,-7.45
Fe 2,8342.975,-5.51,11.487,5.495408738576248e8,1.8197008586099826e-6,-7.51
Ni 2,8343.002,-4.51,15.16,3.235936569296281e8,0.00010471285480508996,-7.27
Fe 2,8343.007,-3.717,6.217,2.9512092266663903e8,2.951209226666384e-7,183.21
Cr 2,8343.051,-5.73,12.95,9.772372209558111e8,1.584893192461114e-5,-7.32
Co 1,8343.07,-5.319,2.137,1.5848931924611142e7,5.888436553555884e-7,-7.82
V 2,8343.085,-10.572,1.071,0.10232929922807542,3.63078054770101e-7,-7.94
V 2,8343.085,-10.515,1.071,0.10232929922807542,3.63078054770101e-7,-7.94
Fe 3,8343.183,-7.202,9.56,1.148153621496884e9,2.187761623949552e-7,-7.94
Mn 2,8343.266,-6.73,11.099,7.585775750291852e8,2.0417379446695273e-6,-7.67
He 1,8343.273,-1.792,23.074,,,
Ti 1,8343.36,-6.06,3.285,1.0e8,4.168693834703355e-6,-7.76
Cr 1,8343.378,-3.952,4.449,2.187761623949552e8,4.677351412871981e-6,-7.67
Mn 2,8343.433,-7.924,11.677,1.1748975549395304e9,1.3803842646028838e-6,-7.74
Mn 1,8343.442,-7.433,6.538,1.445439770745928e8,2.818382931264455e-5,-7.39
Mn 1,8343.445,-3.564,6.987,1.5488166189124796e8,2.5118864315095822e-5,-7.33
Fe 2,8343.501,-2.943,11.409,2.8183829312644494e8,1.3803842646028838e-6,-7.51
Cr 1,8343.567,-4.939,5.132,5.754399373371567e8,1.2882495516931348e-5,-7.54
Ce 2,8343.601,-2.56,4.11,,,
Fe 2,8343.621,-3.549,14.01,9.772372209558111e8,9.332543007969905e-5,-7.4
Si 2,8343.636,-5.837,14.186,1.3182567385564074e7,0.001412537544622754,-6.96
Si 2,8343.636,-4.293,14.186,1.3182567385564074e7,0.001412537544622754,-6.96
Fe 1,8343.714,-1.517,5.72,4.570881896148752e8,2.951209226666384e-5,-7.3
Ti 1,8343.732,-4.103,3.285,1.0232929922807537e8,4.365158322401657e-6,-7.76
C 2,8343.74,-4.249,23.116,2.454708915685034e9,9.549925860214369e-7,-7.76
Ti 3,8343.803,-1.393,21.149,1.5135612484362073e9,5.3703179637025325e-5,-7.51
O 2,8343.831,-0.34,30.478,,,
Ni 3,8343.837,-3.497,24.984,4.466835921509635e9,5.011872336272725e-7,-7.85
Mn 1,8343.863,-9.549,6.534,1.1748975549395303e8,3.8904514499428046e-5,-7.39
Fe 2,8343.865,-5.24,12.609,6.16595001861481e8,6.0255958607435806e-5,-7.39
Ni 2,8343.907,-4.202,15.03,1.5135612484362072e8,7.244359600749906e-6,-7.5
Fe 1,8343.908,-9.727,6.145,1.737800828749376e7,0.0012882495516931337,-7.01
Cl 1,8343.935,-1.63,10.934,,,
Yb 2,8343.942,-3.23,4.652,,,
Fe 2,8343.945,-4.091,12.818,1.4791083881682072e9,5.011872336272725e-6,-7.59
Fe 1,8344.021,-3.968,5.931,1.9054607179632443e8,1.3803842646028839e-5,-7.42
He 1,8344.091,-3.726,23.074,,,
Cr 2,8344.144,-6.879,12.875,7.413102413009162e8,5.888436553555884e-5,-7.37
Cr 2,8344.165,-6.889,10.754,1.1220184543019652e9,1.4125375446227554e-6,-7.73
Ce 2,8344.211,-1.65,2.145,,,
Hf 1,8344.248,-1.24,1.943,,,
Mn 2,8344.255,-7.129,11.099,7.585775750291852e8,2.0417379446695273e-6,-7.67
Cr 2,8344.269,-2.393,13.081,5.248074602497734e8,1.778279410038923e-5,-7.31
Cr 2,8344.325,-3.714,13.054,4.3651583224016654e8,1.6595869074375598e-5,-7.31
Ni 2,8344.353,-3.684,15.148,3.3884415613920206e8,6.165950018614822e-6,-7.51
Y 1,8344.407,-1.175,2.003,3.235936569296281e8,5.248074602497723e-6,-7.6
Mn 2,8344.436,-4.008,12.484,5.754399373371567e8,4.073802778041131e-6,-7.5
Cr 2,8344.443,-5.026,6.869,2.884031503126612e8,3.4673685045253164e-7,-7.87
Fe 1,8344.452,-3.288,5.683,1.8620871366628656e8,1.0964781961431852e-5,-7.33
Cr 2,8344.492,-5.244,11.264,9.772372209558111e8,2.1877616239495517e-6,455.279
Co 2,8344.582,-4.947,11.932,7.585775750291852e8,1.6218100973589298e-6,-7.62
N 3,8344.95,-0.866,36.842,,,
Ti 1,8344.972,-2.32,3.724,2.9512092266663903e8,2.0417379446695274e-5,-7.55
Cr 2,8345.084,-1.712,11.788,2.884031503126612e8,2.3442288153199226e-6,-7.49
Fe 2,8345.1,-5.046,12.609,3.8018939632056123e8,6.309573444801929e-5,-7.39
Ar 2,8345.171,-3.12,17.776,,,
Fe 1,8345.186,-4.721,2.692,1.445439770745928e8,7.762471166286911e-7,-7.79
Fe 2,8345.218,-4.867,7.627,3.090295432513592e8,2.754228703338169e-7,-7.9
Mg 1,8345.228,-4.27,5.946,,,
Ni 2,8345.244,-2.715,15.026,1.148153621496884e9,8.51138038202376e-6,-7.5
Fe 2,8345.249,-2.714,11.46,2.5703957827688646e8,1.2022644346174132e-6,-7.51
Ce 2,8345.254,-3.35,1.092,,,
P 1,8345.26,-4.25,8.228,,,
Mn 1,8345.324,-6.465,6.538,1.445439770745928e8,2.754228703338169e-5,-7.39
He 1,8345.382,-2.877,23.087,,,
Ni 3,8345.412,-4.325,15.053,1.0e9,1.8620871366628656e-7,-7.97
Fe 2,8345.46,-4.786,12.702,7.585775750291852e8,1.0e-5,-7.38
He 1,8345.473,-4.0,23.074,,,
Cr 2,8345.544,-3.099,11.586,6.606934480075965e8,2.754228703338169e-6,-7.61
F 1,8345.551,-0.59,14.4,,,
H 1,8345.557,-2.084,12.088,6.309573444801943e8,1000.0,23.0
Cr 3,8345.558,-4.602,20.826,3.3884415613920207e9,4.78630092322638e-7,-7.84
Co 1,8345.578,-2.24,4.209,2.187761623949552e8,4.78630092322638e-6,-7.55
Cr 2,8345.586,-4.922,11.144,1.0232929922807536e9,2.0417379446695273e-6,408.271
Co 2,8345.637,-2.549,11.964,7.585775750291852e8,3.467368504525317e-6,-7.64
He 1,8345.648,-2.27,23.074,,,
Ca 1,8345.746,-5.071,5.991,1.3182567385564074e7,0.0023442288153199225,-6.54
S 1,8345.746,-8.428,10.173,1.122018454301963e7,0.006606934480075957,-6.71
S 1,8345.746,-7.382,10.173,1.230268770812381e7,0.006918309709189363,-6.71
S 1,8345.746,-7.245,10.173,1.202264434617413e7,0.006606934480075957,-6.71
S 1,8345.746,-7.205,10.173,1.288249551693135e7,0.006606934480075957,-6.71
S 1,8345.746,-7.027,10.173,1.288249551693135e7,0.006918309709189363,-6.71
S 1,8345.746,-6.724,10.173,1.202264434617413e7,0.006918309709189363,-6.71
S 1,8345.746,-6.392,10.173,1.4125375446227554e7,0.006606934480075957,-6.71
S 1,8345.746,-6.371,10.173,1.288249551693135e7,0.006606934480075957,-6.71
S 1,8345.746,-6.084,10.173,1.230268770812381e7,0.006606934480075957,-6.71
S 1,8345.746,-5.62,10.173,1.4125375446227554e7,0.006918309709189363,-6.71
S 1,8345.746,-5.077,10.173,1.3182567385564074e7,0.006918309709189363,-6.71
V 1,8345.753,-3.678,2.578,1.3182567385564074e7,1.3489628825916533e-6,-7.8
Cr 1,8345.767,-6.347,4.186,1.3803842646028867e8,9.332543007969905e-7,-7.76
Ti 1,8345.783,-7.013,4.106,1.9498445997580415e8,1.6595869074375598e-5,-7.52
Ti 1,8345.784,-2.088,3.724,3.090295432513592e8,2.5118864315095822e-5,-7.55
Cr 2,8345.836,-4.075,12.929,1.230268770812381e9,2.39883291901949e-5,-7.32
Co 2,8345.841,-4.705,13.65,2.8183829312644494e8,1.0e-5,-7.42
Co 2,8345.842,-6.471,13.65,2.8183829312644494e8,1.0232929922807536e-5,-7.42
Si 1,8345.855,-2.561,6.269,9.332543007969905e7,0.00013489628825916533,-6.99
S 1,8345.871,-9.965,10.173,1.230268770812381e7,0.00630957344480193,-6.71
S 1,8345.871,-8.005,10.173,1.122018454301963e7,0.006165950018614822,-6.71
S 1,8345.871,-7.587,10.173,1.202264434617413e7,0.00630957344480193,-6.71
S 1,8345.871,-7.43,10.173,1.230268770812381e7,0.006165950018614822,-6.71
S 1,8345.871,-7.358,10.173,1.122018454301963e7,0.006165950018614822,-6.71
S 1,8345.871,-7.357,10.173,1.122018454301963e7,0.00630957344480193,-6.71
S 1,8345.871,-7.294,10.173,1.122018454301963e7,0.00630957344480193,-6.71
S 1,8345.871,-7.27,10.173,1.0964781961431852e7,0.006165950018614822,-6.71
S 1,8345.871,-7.123,10.173,1.122018454301963e7,0.006165950018614822,-6.71
S 1,8345.871,-7.118,10.173,1.230268770812381e7,0.006165950018614822,-6.71
S 1,8345.871,-7.028,10.173,1.288249551693135e7,0.00630957344480193,-6.71
S 1,8345.871,-6.964,10.173,1.288249551693135e7,0.006165950018614822,-6.71
S 1,8345.871,-6.918,10.173,1.288249551693135e7,0.00630957344480193,-6.71
Ni 1,8345.894,-3.717,5.845,1.1481536214968841e8,0.0002570395782768865,-7.17
Fe 1,8345.984,-9.775,6.038,5.623413251903491e7,0.0015488166189124811,-7.01
Cr 1,8345.996,-4.272,4.44,1.9498445997580415e8,4.073802778041131e-6,-7.68
Cr 2,8346.011,-4.701,11.565,6.456542290346563e8,3.0199517204020193e-6,-7.61
Nb 1,8346.011,-1.36,1.369,,,
Cr 1,8346.065,-3.518,6.225,7.762471166286927e8,5.248074602497723e-5,-7.4
Mg 1,8346.106,-3.58,5.946,,,
Mg 1,8346.106,-1.08,5.946,,,
Mg 1,8346.106,-2.029,5.946,,,
Mg 1,8346.119,-3.58,5.946,,,
Mg 1,8346.119,-2.031,5.946,,,
Mg 1,8346.12,-1.3,5.946,,,
Mg 1,8346.12,-0.967,5.946,,,
Fe 1,8346.137,-3.294,4.913,5.495408738576248e8,4.7863009232263804e-5,-7.5
Yb 2,8346.15,-2.66,7.959,,,
He 1,8346.168,-3.781,23.087,,,
Ne 2,8346.206,-1.71,34.775,,,
Cr 2,8346.255,-6.47,12.888,8.317637711026709e8,0.00010715193052376059,-7.37
Cr 2,8346.289,-5.518,6.578,1.621810097358933e8,3.715352290971728e-7,-7.88
Nd 2,8346.38,-3.09,0.064,,,
Co 2,8346.385,-5.102,13.651,4.073802778041122e8,1.0232929922807536e-5,-7.42
Cu 2,8346.386,-3.273,14.43,9.549925860214369e8,1.7378008287493763e-6,-7.73
Co 2,8346.397,-6.802,13.651,4.073802778041122e8,1.0232929922807536e-5,-7.42
Si 2,8346.401,-1.583,15.476,1.5135612484362072e14,0.00026915348039269167,-7.01
Sc 1,8346.436,-3.669,2.564,1.2302687708123812e8,2.5703957827688647e-6,-7.71
Si 2,8346.443,-2.881,15.476,1.5135612484362072e14,0.00026915348039269167,-7.01
Si 2,8346.443,-1.724,15.476,1.5135612484362072e14,0.00026915348039269167,-7.01
Tm 2,8346.443,-3.28,5.197,,,
Ni 1,8346.448,-5.782,5.831,2.1379620895022324e8,6.165950018614822e-6,-7.5
Mn 1,8346.51,-5.573,6.538,1.445439770745928e8,2.754228703338169e-5,-7.39
La 1,8346.575,-1.21,0.511,,,
Mn 2,8346.61,-2.759,11.777,8.128305161640995e8,2.0417379446695273e-6,-7.67
Y 2,8346.637,-2.875,8.859,5.623413251903491e8,2.691534803926914e-5,-7.29
Ca 1,8346.72,-6.023,5.49,2.754228703338169e7,0.00010471285480508996,-7.1
Ni 2,8346.728,-2.951,14.745,5.248074602497734e8,7.244359600749906e-6,-7.45
Fe 1,8346.745,-2.309,5.849,3.235936569296281e8,1.071519305237607e-5,-7.51
U 1,8346.756,-1.866,0.743,,,
Cr 1,8346.765,-2.28,6.618,1.9498445997580415e8,0.004168693834703355,-6.53
Ni 1,8346.765,-3.689,5.481,1.1748975549395303e8,0.00015135612484362088,-7.27
Ti 3,8346.798,-0.851,21.069,1.6595869074375632e9,1.4125375446227555e-5,-7.52
Eu 3,8346.818,-2.819,4.317,,,
Fe 1,8346.865,-3.079,5.844,1.584893192461111e8,0.0001412537544622754,-7.13
Ni 2,8347.028,-6.048,9.897,9.120108393559115e8,1.6218100973589298e-6,-7.7
Sc 1,8347.056,-3.175,2.569,1.2302687708123812e8,2.5703957827688647e-6,-7.71
Ca 1,8347.058,-2.495,4.443,5.623413251903491e7,0.0016595869074375613,-6.66
Cr 3,8347.119,-6.462,20.874,3.3113112148259077e9,4.466835921509635e-7,-7.84
Yb 2,8347.14,-2.03,7.08,,,
Ce 2,8347.164,-2.86,5.066,,,
Ni 1,8347.217,-3.603,5.488,7.585775750291836e7,7.079457843841373e-5,-7.32
Fe 1,8347.22,-4.145,5.648,9.549925860214369e7,2.5703957827688645e-5,-7.32
V 2,8347.237,-12.488,1.071,0.0812830516164099,3.63078054770101e-7,-7.94
V 2,8347.237,-9.977,1.071,0.0812830516164099,3.63078054770101e-7,-7.94
Fe 2,8347.267,-8.497,13.294,1.348962882591656e9,0.00026302679918953814,-7.3
Co 2,8347.27,-5.763,9.986,1.0964781961431828e9,1.584893192461114e-6,-7.73
Fe 2,8347.274,-5.417,13.294,1.348962882591656e9,0.00026302679918953814,-7.3
Fe 2,8347.275,-7.268,13.294,1.348962882591656e9,0.00025118864315095795,-7.3
Sc 2,8347.279,-13.431,0.022,0.436515832240166,4.897788193684466e-7,-7.89
Sc 2,8347.279,-7.922,0.022,0.436515832240166,4.897788193684466e-7,-7.89
Cr 2,8347.286,-4.266,6.641,1.9054607179632443e8,3.8018939632056126e-7,184.211
Cr 1,8347.311,-4.55,6.206,8.128305161640995e8,1.1748975549395302e-5,-7.54
Co 2,8347.462,-4.202,12.068,7.762471166286927e8,1.8620871366628656e-6,-7.63
Fe 1,8347.464,-3.111,5.981,2.29086765276777e8,1.445439770745928e-5,-7.42
Mn 1,8347.51,-9.759,6.212,2.8183829312644494e8,7.413102413009177e-6,-7.57
Fe 1,8347.573,-11.503,0.0,0.013803842646028845,5.754399373371567e-7,-7.82
Fe 1,8347.573,-9.97,0.0,0.013803842646028845,5.754399373371567e-7,-7.82
Sc 2,8347.579,-0.724,8.253,1.479108388168207e8,4.168693834703355e-6,-7.47
Cu 1,8347.607,-6.006,7.805,2.0417379446695316e8,2.5118864315095822e-5,-7.45
Fe 1,8347.632,-9.961,6.038,5.623413251903491e7,0.0013803842646028853,-7.01
Ni 1,8347.662,-3.243,5.488,7.762471166286911e7,7.413102413009176e-5,-7.33
P 2,8347.739,0.418,16.136,2.0892961308540409e9,2.691534803926914e-5,-7.37
Cr 3,8347.753,-4.179,20.845,3.3113112148259077e9,4.78630092322638e-7,-7.84
Cu 2,8347.754,-6.053,17.549,2.884031503126612e8,0.00013182567385564074,-7.25
Cu 2,8347.816,-6.217,17.549,2.884031503126612e8,0.00012022644346174131,-7.25
Fe 2,8347.824,-4.644,12.819,8.912509381337441e8,5.011872336272725e-6,-7.59
Ni 3,8347.871,-3.865,26.102,2.5703957827688646e9,1.6218100973589298e-6,-7.71
Ni 2,8347.934,-4.63,14.767,6.309573444801943e8,1.8197008586099827e-5,-7.46
Cr 1,8347.941,-4.489,5.134,3.46736850452531e8,1.230268770812381e-5,-7.53
C 3,8347.95,0.072,39.85,6.16595001861481e9,,
Ni 1,8347.965,-5.508,5.472,4.365158322401656e7,6.456542290346549e-5,-7.27
Mn 2,8347.997,-6.956,11.677,1.202264434617413e9,1.4125375446227554e-6,-7.74
Ca 1,8348.067,-8.683,5.942,5.370317963702532e6,0.0038018939632056127,-6.7
Ca 1,8348.067,-8.647,5.942,5.370317963702532e6,0.0038018939632056127,-6.7
V 1,8348.102,-5.978,3.731,1.1748975549395303e8,5.3703179637025325e-5,-7.53
Mn 2,8348.115,-7.692,12.117,1.0471285480508986e9,7.413102413009177e-6,-7.47
Ca 1,8348.144,-7.788,5.942,5.370317963702532e6,0.0038018939632056127,-6.7
Ca 1,8348.144,-6.91,5.942,5.370317963702532e6,0.0038018939632056127,-6.7
Ca 1,8348.18,-6.426,5.942,5.370317963702532e6,0.0038018939632056127,-6.7
Cr 1,8348.28,-1.861,2.708,1.288249551693135e7,7.244359600749906e-7,-7.77
Fe 2,8348.405,-4.872,12.775,9.549925860214369e8,1.584893192461114e-5,-7.38
Fe 1,8348.46,-6.578,5.707,1.584893192461111e8,8.51138038202376e-6,-7.4
Fe 2,8348.471,-3.462,10.714,9.772372209558111e8,2.0892961308540407e-6,429.279
Fe 2,8348.491,-5.513,8.971,1.0e9,1.4125375446227554e-6,-7.75
Ni 3,8348.527,-5.296,12.18,6.606934480075965e8,1.8197008586099824e-7,-7.98
Fe 2,8348.617,-6.28,13.294,1.348962882591656e9,0.0002570395782768865,-7.3
Fe 2,8348.621,-8.906,13.294,1.348962882591656e9,0.00025118864315095795,-7.3
Mn 1,8348.64,-6.302,6.315,6.3095734448019296e7,9.549925860214369e-5,-7.35
S 1,8348.645,-2.241,9.845,8.91250938133746e7,0.0001148153621496883,-7.08
S 1,8348.645,-1.776,9.845,9.120108393559097e7,0.0001148153621496883,-7.08
He 2,8348.658,-2.04,52.907,1.0e10,,
Sm 2,8348.659,-1.824,1.592,,,
Ni 2,8348.666,-3.504,12.774,1.5488166189124796e9,2.1877616239495517e-6,-7.73
Ca 1,8348.684,-4.952,5.832,1.6595869074375598e7,0.0009549925860214359,-6.86
W 1,8348.743,-2.16,2.602,,,
Ca 1,8348.764,-5.599,6.001,1.1748975549395302e7,0.0020417379446695297,-6.55
Sc 1,8348.764,-3.145,4.11,3.630780547701018e8,1.7378008287493763e-6,-7.72
Cr 2,8348.799,-3.715,13.064,3.235936569296281e8,1.6595869074375598e-5,-7.32
Fe 1,8348.847,-3.496,5.55,1.698243652461746e8,4.7863009232263804e-5,-7.33
V 1,8348.868,-5.07,3.888,1.288249551693135e7,2.6302679918953814e-5,-7.47
Ti 1,8348.883,-1.821,2.085,3.9810717055349695e6,3.6307805477010103e-6,-7.8
Fe 1,8349.046,-5.666,0.915,1071.519305237606,5.248074602497723e-7,-7.85
Gd 1,8349.741,-1.795,0.921,,,
Nb 1,8350.026,-1.92,1.043,,,
Ni 2,8350.263,0.33,11.447,6.025595860743569e8,1.6595869074375596e-6,-7.64
Ti 1,8350.332,-2.585,3.718,2.884031503126612e8,2.238721138568338e-5,-7.55
Si 1,8350.383,-3.556,6.399,3.890451449942805e7,0.00025118864315095795,-6.82
Fe 1,8350.973,-3.081,5.669,1.9952623149688828e8,1.3489628825916533e-5,-7.33
P 1,8351.146,0.0,8.454,,,
S 1,8351.296,-1.865,10.174,1.8197008586099826e7,0.00162181009735893,-6.7
Mn 1,8351.603,-4.202,2.941,4.1686938347033465e8,1.0e-6,-7.74
Fe 2,8351.711,-3.808,6.223,3.311311214825908e8,2.951209226666384e-7,181.212
Fe 1,8352.156,-1.875,5.742,4.570881896148752e8,4.265795188015926e-6,-7.34
Ca 1,8352.381,-1.392,4.532,1.7378008287493762e8,1.4125375446227555e-5,-7.45
Fe 2,8352.828,-0.389,9.962,6.309573444801943e8,1.9498445997580454e-6,-7.68
Ru 1,8352.914,-0.39,3.993,,,
Fe 2,8352.998,-1.974,12.206,6.456542290346563e8,1.8620871366628656e-6,-7.63
Ni 2,8353.04,-3.67,15.032,1.5135612484362072e8,6.9183097091893625e-6,-7.5
Cl 2,8353.082,-0.99,14.854,,,
Cr 1,8353.098,-5.719,6.033,2.8183829312644494e8,5.4954087385762485e-6,-7.28
Mn 1,8353.11,-9.769,5.396,6.918309709189363e7,8.128305161640995e-5,-7.19
V 1,8353.131,-3.791,3.055,3.019951720402019e7,8.709635899560814e-7,-7.77
Ti 1,8353.162,-2.62,0.813,2.3442288153199228e6,8.128305161640995e-7,265.247
Fe 2,8353.17,-4.25,7.473,3.235936569296281e8,3.890451449942805e-7,228.191
Y 1,8353.198,-2.56,4.597,3.8018939632056125e7,0.0005623413251903491,-7.12
Y 1,8353.219,-2.256,4.597,5.623413251903491e7,9.120108393559096e-5,-7.08
Cr 1,8353.228,-4.554,6.619,1.9054607179632443e8,0.004168693834703355,-6.53
Cr 2,8353.242,-2.669,13.04,4.677351412871981e8,1.6595869074375598e-5,-7.32
Cr 2,8353.263,-2.327,11.677,6.16595001861481e8,1.1748975549395304e-6,-7.66
Cr 2,8353.347,-4.381,12.888,8.511380382023759e8,9.772372209558111e-5,-7.37
Fe 1,8353.38,-8.466,5.872,3.090295432513592e7,0.00020892961308540387,-7.18
Fe 1,8353.391,-6.127,5.872,3.090295432513592e7,0.00020892961308540387,-7.18
Ca 1,8353.417,-7.139,5.944,1.3489628825916532e7,0.006456542290346556,-6.71
Ca 1,8353.417,-6.59,5.944,1.3489628825916532e7,0.006025595860743574,-6.72
Ca 1,8353.417,-5.143,5.944,1.3489628825916532e7,0.006456542290346556,-6.71
Co 1,8353.461,-1.832,5.204,1.9054607179632443e8,9.549925860214369e-6,-7.52
Fe 2,8353.499,-4.086,12.572,5.370317963702532e8,6.0255958607435806e-5,-7.34
Mn 1,8353.507,-8.756,5.673,8.511380382023759e7,0.002754228703338166,-7.09
S 1,8353.542,-4.726,8.408,2.6302679918953815e8,0.00026915348039269167,-7.02
Fe 1,8353.563,-3.612,5.519,1.2022644346174131e8,6.456542290346549e-5,-7.33
Fe 1,8353.575,-3.325,4.966,6.165950018614822e7,2.0417379446695274e-5,-7.52
Ti 1,8353.586,-3.542,4.48,2.754228703338169e7,1.122018454301963e-5,-7.33
Co 1,8353.588,-5.053,2.328,3.3113112148259077e7,6.165950018614822e-7,-7.8
Fe 2,8353.591,-5.856,11.409,5.754399373371567e8,1.7378008287493763e-6,-7.69
Pd 1,8353.619,-0.14,5.005,,,
Mn 1,8353.635,-1.68,5.52,1.0e8,2.3442288153199225e-5,-7.36
V 2,8353.668,-2.758,9.419,9.120108393559115e8,2.1877616239495517e-6,-7.69
Ti 1,8353.692,-6.514,4.48,2.818382931264455e7,1.1748975549395302e-5,-7.32
Si 1,8353.719,-2.279,6.223,4.07380277804113e7,0.0007943282347242813,-7.02
Fe 2,8353.76,-9.311,13.257,6.456542290346563e8,0.00021379620895022324,-7.3
Fe 2,8353.765,-9.273,13.257,6.456542290346563e8,0.00020892961308540387,-7.3
Cu 2,8353.844,-0.74,17.326,1.0715193052376049e9,6.606934480075965e-5,-7.2
Fe 2,8353.952,-6.272,12.709,8.317637711026709e8,6.606934480075964e-6,-7.44
Y 2,8353.965,-0.91,8.117,3.715352290971728e8,6.309573444801929e-5,-7.41
Fe 2,8353.979,-5.837,13.995,2.29086765276777e8,5.495408738576248e-5,-7.39
Ca 1,8353.98,-8.81,5.942,6.30957344480193e6,0.004168693834703355,-6.7
Pr 3,8354.143,-3.764,0.359,,,
S 1,8354.2,-4.25,8.408,2.6302679918953815e8,0.00026915348039269167,-7.02
Fe 1,8354.252,-9.559,5.98,1.62181009735893e7,0.0002454708915685031,-7.18
Fe 2,8354.271,-0.219,13.682,5.495408738576248e8,7.079457843841373e-6,-7.48
Al 2,8354.317,0.688,15.062,3.981071705534969e8,6.0255958607435806e-5,
Fe 1,8354.353,-7.468,5.872,3.090295432513592e7,0.00020892961308540387,-7.18
Fe 1,8354.354,-7.917,5.872,3.090295432513592e7,0.00021379620895022324,-7.18
Fe 2,8354.356,-3.879,11.481,1.0471285480508986e9,1.479108388168207e-6,-7.72
Ca 1,8354.464,-8.719,6.043,5.128613839913649e6,0.0009120108393559096,-6.89
K 2,8354.506,-0.317,26.707,7.244359600749891e8,4.265795188015926e-6,-7.57
V 3,8354.506,-12.941,0.0,0.019054607179632473,6.165950018614822e-8,-8.18
Fe 1,8354.523,-3.449,5.9,1.584893192461111e8,0.00019952623149688788,-7.14
Fe 1,8354.525,-7.148,5.872,3.090295432513592e7,0.00020417379446695296,-7.18
Fe 1,8354.528,-6.746,5.872,3.090295432513592e7,0.00021379620895022324,-7.18
Cr 1,8354.528,-2.189,6.033,1.2589254117941661e8,2.951209226666384e-5,-7.28
