#This is the official release of the standard system response (instrument +
#atmosphere) for DES DR1 release (also known as Y3A2 Gold). The system response
#is defined in steps of 5 Angstrom, for DES-grizY filter bandpasses, from 3800
#Angstrom to 11000 Angstrom. The system responses (g/r/i/z/Y columns) includes
#the total throughput of the system (instrument+atmosphere). If you want the
#system throughput *without* the atmosphere, divide g/r/i/z/Y column by the atm
#column.
#
#Instrument throughput is defined as focal plane average from DECal scan for
#in-band wavelengths, and is defined as zero for out-of-band wavelengths. The
#in-band wavelengths are defined as (in Angstrom):
#
#g: 3800 - 5650
#r: 5400 - 7350
#i: 6750 - 8700
#z: 8250 - 10150
#Y: 9300 - 10700
#
#Atmospheric throughput is computed using ModTran 4 with the following 
#atmospheric parameters:
#
#Barometric Pressure 778 mb
#Precipitable Water Vapor 3 mm
#Ozone 263 Dobson
#Aerosol Optical Depth 0.03
#Aerosol Optical Index 1
#Airmass 1.2
#(Atmospheric throughput alone is available in the atm column)
#
#LAMBDA r atm
7050.0 0.83470 0.91095
7055.0 0.83262 0.91070
7060.0 0.83145 0.91146
7065.0 0.82794 0.91231
7070.0 0.82442 0.91316
7075.0 0.82031 0.91338
7080.0 0.81621 0.91359
7085.0 0.81038 0.91435
7090.0 0.80430 0.91484
7095.0 0.79797 0.91505
7100.0 0.79124 0.91480
7105.0 0.78551 0.91501
7110.0 0.78001 0.91550
7115.0 0.77451 0.91598
7120.0 0.76885 0.91629
7125.0 0.73831 0.91622
7130.0 0.70756 0.91588
7135.0 0.67717 0.91600
7140.0 0.64671 0.91603
7145.0 0.57580 0.91541
7150.0 0.50483 0.91452
7155.0 0.43426 0.91418
7160.0 0.36330 0.91274
7165.0 0.30435 0.90615
7170.0 0.24391 0.89111
7175.0 0.18542 0.87643
7180.0 0.12988 0.86938
7185.0 0.10622 0.85737
7190.0 0.08363 0.85004
7195.0 0.06210 0.85226
7200.0 0.04046 0.85429
7205.0 0.03360 0.86211
7210.0 0.02699 0.88209
7215.0 0.02003 0.90143
7220.0 0.01256 0.90762
7225.0 0.01114 0.90535
7230.0 0.00961 0.89294
7235.0 0.00806 0.87390
7240.0 0.00671 0.87190
7245.0 0.00568 0.87320
7250.0 0.00466 0.87737
7255.0 0.00363 0.88071
7260.0 0.00260 0.88709
7265.0 0.00225 0.88664
7270.0 0.00191 0.88547
7275.0 0.00155 0.87949
7280.0 0.00121 0.87859
7285.0 0.00110 0.89078
7290.0 0.00096 0.88951
7295.0 0.00083 0.89147
7300.0 0.00071 0.89740
7305.0 0.00066 0.89493
7310.0 0.00061 0.89550
7315.0 0.00056 0.89792
7320.0 0.00052 0.90284
7325.0 0.00049 0.91099
7330.0 0.00046 0.91444
7335.0 0.00043 0.91474
7340.0 0.00040 0.91707
7345.0 0.00020 0.91784
7350.0 0.00000 0.91740
7355.0 0.00000 0.91780
7360.0 0.00000 0.91717
7365.0 0.00000 0.91692
7370.0 0.00000 0.91759
7375.0 0.00000 0.91965
7380.0 0.00000 0.92116
7385.0 0.00000 0.92128
7390.0 0.00000 0.92176
7395.0 0.00000 0.92207
7400.0 0.00000 0.92255
7405.0 0.00000 0.92369
7410.0 0.00000 0.92418
7415.0 0.00000 0.92448
7420.0 0.00000 0.92497
7425.0 0.00000 0.92499
7430.0 0.00000 0.92539
7435.0 0.00000 0.92597
7440.0 0.00000 0.92609
7445.0 0.00000 0.92602
7450.0 0.00000 0.92623
7455.0 0.00000 0.92625
7460.0 0.00000 0.92646
7465.0 0.00000 0.92668
7470.0 0.00000 0.92679
7475.0 0.00000 0.92682
7480.0 0.00000 0.92694
7485.0 0.00000 0.92715
7490.0 0.00000 0.92726
7495.0 0.00000 0.92747
7500.0 0.00000 0.92759
7505.0 0.00000 0.92761
7510.0 0.00000 0.92792
7515.0 0.00000 0.92813
7520.0 0.00000 0.92825
7525.0 0.00000 0.92846
7530.0 0.00000 0.92867
7535.0 0.00000 0.92878
7540.0 0.00000 0.92890
7545.0 0.00000 0.92902
7550.0 0.00000 0.92923
7555.0 0.00000 0.92944
7560.0 0.00000 0.92946
7565.0 0.00000 0.92967
7570.0 0.00000 0.92979
7575.0 0.00000 0.92991
7580.0 0.00000 0.92984
7585.0 0.00000 0.92577
7590.0 0.00000 0.88096
7595.0 0.00000 0.70123
7600.0 0.00000 0.44259
7605.0 0.00000 0.30679
7610.0 0.00000 0.32268
7615.0 0.00000 0.46109
7620.0 0.00000 0.60593
7625.0 0.00000 0.58510
7630.0 0.00000 0.50562
7635.0 0.00000 0.50652
7640.0 0.00000 0.55038
7645.0 0.00000 0.60343
7650.0 0.00000 0.66609
7655.0 0.00000 0.72263
7660.0 0.00000 0.76796
7665.0 0.00000 0.80682
7670.0 0.00000 0.84801
7675.0 0.00000 0.87523
7680.0 0.00000 0.89053
7685.0 0.00000 0.90042
7690.0 0.00000 0.90725
7695.0 0.00000 0.91370
7700.0 0.00000 0.92164
7705.0 0.00000 0.92707
7710.0 0.00000 0.92943
7715.0 0.00000 0.93038
7720.0 0.00000 0.93096
7725.0 0.00000 0.93126
7730.0 0.00000 0.93138
7735.0 0.00000 0.93168
7740.0 0.00000 0.93189
7745.0 0.00000 0.93220
7750.0 0.00000 0.93222
7755.0 0.00000 0.93243
7760.0 0.00000 0.93236
7765.0 0.00000 0.93257
7770.0 0.00000 0.93259
7775.0 0.00000 0.93270
7780.0 0.00000 0.93263
7785.0 0.00000 0.93275
7790.0 0.00000 0.93287
7795.0 0.00000 0.93289
7800.0 0.00000 0.93310
